name,category,price,stock,image_url,active,slug
Clear Quartz Point,Crystals,1,10,/assets/images/Clear Quartz Point/Clear Quartz Point 1.webp,true,clear-quartz-point
Rose Quartz Cluster,Crystals,1800,10,/assets/images/Rose Quartz Cluster/Rose Quartz Cluster 1.webp,true,rose-quartz-cluster
Amethyst Cluster,Crystals,2500,10,/assets/images/Amethyst Cluster/Amethyst Cluster 1.webp,true,amethyst-cluster
Black Tourmaline Raw,Crystals,1200,10,/assets/images/Black Tourmaline Raw/Black Tourmaline Raw 1.webp,true,black-tourmaline-raw
Citrine Point,Crystals,1800,10,/assets/images/Citrine Point/Citrine Point 1.webp,true,citrine-point
Pyrite Cluster,Crystals,2200,10,/assets/images/Pyrite Cluster/Pyrite Cluster 1.webp,true,pyrite-cluster
Selenite Tower,Crystals,1600,10,/assets/images/Selenite Tower/Selenite Tower 1.webp,true,selenite-tower
Labradorite Freeform,Crystals,2800,10,/assets/images/Labradorite Freeform/Labradorite Freeform 1.webp,true,labradorite-freeform
Clear Quartz,Gemstones,3200,10,/assets/images/Clear Quartz/Clear Quartz 1.webp,true,clear-quartz
Rose Quartz,Gemstones,2800,10,/assets/images/Rose Quartz/Rose Quartz 1.webp,true,rose-quartz
Amethyst,Gemstones,3500,10,/assets/images/Amethyst/Amethyst 1.webp,true,amethyst
Black Tourmaline,Gemstones,2400,10,/assets/images/Black Tourmaline/Black Tourmaline 1.webp,true,black-tourmaline
Citrine,Gemstones,2900,10,/assets/images/Citrine/Citrine 1.webp,true,citrine
Pyrite,Gemstones,2600,10,/assets/images/Pyrite/Pyrite 1.webp,true,pyrite
Labradorite,Gemstones,3800,10,/assets/images/Labradorite/Labradorite 1.webp,true,labradorite
Green Aventurine,Gemstones,1800,10,/assets/images/Green Aventurine/Green Aventurine 1.webp,true,green-aventurine
Tiger's Eye,Gemstones,2000,10,/assets/images/Tiger's Eye/Tiger's Eye 1.webp,true,tiger-s-eye
Selenite,Gemstones,1500,10,/assets/images/Selenite/Selenite 1.webp,true,selenite
Black Tourmaline Bracelet,Bracelets,1800,10,/assets/images/Black Tourmaline Bracelet/Black Tourmaline Bracelet 1.webp,true,black-tourmaline-bracelet
Tiger's Eye Bracelet,Bracelets,1600,10,/assets/images/Tiger's Eye Bracelet/Tiger's Eye Bracelet 1.webp,true,tiger-s-eye-bracelet
Rose Quartz Bracelet,Bracelets,1400,10,/assets/images/Rose Quartz Bracelet/Rose Quartz Bracelet 1.webp,true,rose-quartz-bracelet
Amethyst Bracelet,Bracelets,700,10,/assets/images/Amethyst Bracelet/Amethyst Bracelet 1.webp,true,amethyst-bracelet
Citrine Bracelet,Bracelets,1500,10,/assets/images/Citrine Bracelet/Citrine Bracelet 1.webp,true,citrine-bracelet
Green Aventurine Bracelet,Bracelets,1300,10,/assets/images/Green Aventurine Bracelet/Green Aventurine Bracelet 1.webp,true,green-aventurine-bracelet
